Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
55 Cnc e,0.343,0.124,0.314,0.19,0.026367,2326,1956,3.235,0.7365,1.6416,4,12.34,5196,4.45,TRUE,exoplanets.org
CoRoT-11 b,0.159,0.094,0.027,1.43,2.34813,2057,1730,3.458,2.9943,2.5008,11.2,558.97,6440,4.22,TRUE,exoplanets.org
CoRoT-12 b,0.043,0.041,0.031,1.44,0.91918,1714,1441,3.046,2.828,2.5742,13.6,1150,5675,4.375,TRUE,exoplanets.org
CoRoT-13 b,0.01,0.016,0.007,0.89,1.31099,1514,1273,3.612,4.0352,3.14,13.4,1310.62,5945,4.3,TRUE,exoplanets.org
CoRoT-14 b,0.057,0.024,0.001,1.09,7.69464,2318,1949,4.208,1.5121,1.662,13.8,1340,6035,4.35,TRUE,exoplanets.org
CoRoT-16 b,0.011,0.021,0.027,1.17,0.537982,1420,1194,2.991,5.3523,2.39,12.8,840,5650,4.36,TRUE,exoplanets.org
CoRoT-17 b,0.038,0.029,0.005,1.02,2.46001,1844,1551,3.813,3.7681,4.72,12.5,920,5740,4.4,TRUE,exoplanets.org
CoRoT-18 b,0.081,0.062,0.01,1.31,3.48652,1813,1524,3.707,1.9001,2.387,13,870,5440,4.4,TRUE,exoplanets.org
CoRoT-19 b,0.085,0.054,0.028,1.29,1.10792,1971,1658,3.239,3.8971,4.7,11.8,770,6090,4.07,TRUE,exoplanets.org
CoRoT-20 b,0.001,0.009,0.002,0.84,4.24,1133,953,4.18,9.2429,2.2248,12.5,1230,5880,4.2,TRUE,exoplanets.org
CoRoT-22 b,0.001,0.004,0.035,0.45,0.0383,1194,1004,2.738,9.756,4.488,12,592,5939,4.361,TRUE,exoplanets.org
CoRoT-23 b,0.043,0.028,0.004,1.05,3.0853,1950,1640,3.841,3.6313,3.888,12.4,599.99,5900,4.3,TRUE,exoplanets.org
CoRoT-25 b,0.011,0.016,0.036,1.08,0.27,1570,1320,2.835,4.8607,1.92,12.8,1000,6040,4.28,TRUE,exoplanets.org
CoRoT-26 b,0.035,0.025,0.028,1.26,0.479479,1870,1573,2.883,4.2047,5.47,13.3,1670,5590,4.1,TRUE,exoplanets.org
CoRoT-28 b,0.031,0.034,0.03,0.95,0.484,1620,1362,3.121,5.2085,5.7,11,560,5150,3.94,TRUE,exoplanets.org
CoRoT-29 b,0.012,0.022,0.012,0.9,0.85,1448,1218,3.417,2.8506,2.088,13,765,5260,4.3,TRUE,exoplanets.org
CoRoT-3 b,0.052,0.034,0.001,1.01,21.8549,2013,1693,4.73,4.2568,3.765,11.6,833.33,6740,4.23,TRUE,exoplanets.org
CoRoT-7 b,0.01,0.004,0.019,0.14,0.014,2150,1808,3.143,0.8536,1.125,9.8,149.93,5275,4.5,TRUE,exoplanets.org
CoRoT-8 b,0.001,0.011,0.027,0.57,0.216078,1014,853,3.231,6.2123,2.74,11.5,380.23,5080,4.58,TRUE,exoplanets.org
GJ 436 b,0.001,0.061,0.31,0.38,0.072698,771,649,3.106,2.6439,0.7608,6.1,10.14,3350,4.843,TRUE,exoplanets.org
HAT-P-11 b,0.006,0.054,0.221,0.42,0.082535,1034,870,3.065,4.8878,2.2968,7,37.47,4780,4.59,TRUE,exoplanets.org
